,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
84348,20190701X74526,Accident,GAA19CA415,2019-06-22,"Panama City, FL",United States,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,
84350,20190708X24735,Accident,CEN19LA213,2019-06-22,"Smithfield, RI",United States,Substantial,Airplane,Ercoupe,415,,,Personal,
84353,20190625X34442,Accident,CEN19LA184,2019-06-23,"Vine Grove, KY",United States,Substantial,Airplane,Piper,J3C,1.0,Reciprocating,Personal,
84355,20190624X40852,Accident,CEN19LA183,2019-06-24,"Greeley, CO",United States,Substantial,Airplane,Piper,PA24,1.0,Reciprocating,Personal,
84356,20190625X84116,Accident,GAA19CA371,2019-06-24,"Presidio, TX",United States,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,
84361,20190702X24138,Accident,CEN19TA196,2019-06-26,"Gilliam, LA",United States,Substantial,Airplane,Aeronca,65 C,1.0,Reciprocating,Personal,
84364,20190717X00547,Accident,GAA19CA427,2019-06-26,"Caldwell, NJ",United States,Substantial,Airplane,Beech,35,1.0,Reciprocating,Personal,
84365,20190718X51611,Accident,GAA19CA435,2019-06-26,"State College, PA",United States,Substantial,Airplane,Piper,PA34,2.0,Reciprocating,Personal,
84366,20190627X84648,Accident,GAA19CA374,2019-06-27,"Monument Valley, UT",United States,Substantial,Airplane,Vans,RV 6,1.0,Reciprocating,Personal,
84367,20190628X04252,Accident,ERA19FA201,2019-06-27,"Hope Mills, NC",United States,Destroyed,Airplane,Beech,E55,2.0,Reciprocating,Personal,
84368,20190628X14311,Accident,ANC19LA028,2019-06-27,"Ketchikan, AK",United States,Substantial,Airplane,De Havilland,DHC-2,1.0,Reciprocating,,
84369,20190628X80552,Accident,CEN19LA188,2019-06-27,"Janesville, WI",United States,Minor,Airplane,Cessna,560,2.0,Turbo Jet,Business,
